time,data
28.075,-83.6966736767111
28.1,-83.6966736604029
28.125,-83.6966736473346
28.15,-83.6966736374458
28.175,-83.696673630682
28.2,-83.696673627017
28.225,-83.6966736264015
28.25,-83.6966736288062
28.275,-83.696673634181
28.3,-83.696673642493
28.325,-83.6966736536928
28.35,-83.6966736677467
28.375,-83.6966736846075
28.4,-83.6966737042429
28.425,-83.6966737266088
28.45,-83.6966737516751
28.475,-83.6966737794009
28.5,-83.6966738097629
28.525,-83.696673842722
28.55,-83.6966738782526
28.575,-83.696673916317
28.6,-83.6966739568886
28.625,-83.6966739999327
28.65,-83.6966740454261
28.675,-83.6966740933374
28.7,-83.6966741436445
28.725,-83.6966741963196
28.75,-83.6966742513458
28.775,-83.6966743086994
28.8,-83.6966743683648
28.825,-83.6966744303208
28.85,-83.6966744945474
28.875,-83.6966745610262
28.9,-83.6966746297437
28.925,-83.6966747006836
28.95,-83.6966747738364
28.975,-83.6966748491867
29,-83.6966749267193
29.025,-83.6966750064181
29.05,-83.6966750882704
29.075,-83.6966751722623
29.1,-83.6966752583825
29.125,-83.6966753466187
29.15,-83.6966754369612
29.175,-83.6966755293997
29.2,-83.6966756239257
29.225,-83.6966757205308
29.25,-83.6966758192092
29.275,-83.6966759199543
29.3,-83.6966760227604
29.325,-83.6966761276214
29.35,-83.6966762345314
29.375,-83.6966763434835
29.4,-83.6966764544705
29.425,-83.6966765674868
29.45,-83.6966766825273
29.475,-83.6966767995886
29.5,-83.696676918668
29.525,-83.6966770397639
29.55,-83.6966771628725
29.575,-83.6966772879935
29.6,-83.6966774151244
29.625,-83.6966775442661
29.65,-83.6966776754117
29.675,-83.6966778085604
29.7,-83.6966779437115
29.725,-83.6966780808633
29.75,-83.6966782200111
29.775,-83.6966783611547
29.8,-83.6966785042919
29.825,-83.6966786494242
29.85,-83.6966787965519
29.875,-83.6966789456786
29.9,-83.6966790968039
29.925,-83.6966792499326
29.95,-83.6966794050655
29.975,-83.6966795622083
30,-83.6966797213654
30.025,-83.6966798825438
30.05,-83.6966800457488
30.075,-83.696680210984
30.1,-83.6966803782472
30.125,-83.6966805475431
30.15,-83.696680718872
30.175,-83.6966808922405
30.2,-83.6966810676441
30.225,-83.6966812450876
30.25,-83.6966814245714
30.275,-83.6966816061027
30.3,-83.6966817896853
30.325,-83.6966819753279
30.35,-83.6966821630365
30.375,-83.6966823528213
30.4,-83.6966825446904
30.425,-83.69668273865
30.45,-83.6966829347004
30.475,-83.6966831328486
30.5,-83.6966833330973
30.525,-83.6966835354552
30.55,-83.6966837399289
30.575,-83.6966839465299
30.6,-83.6966841552648
30.625,-83.6966843661457
30.65,-83.6966845791789
30.675,-83.6966847943767
30.7,-83.6966850117495
30.725,-83.696685231306
30.75,-83.6966854530456
30.775,-83.6966856769761
30.8,-83.696685903098
30.825,-83.6966861314189
30.85,-83.6966863619393
30.875,-83.6966865946681
30.9,-83.6966868296079
30.925,-83.6966870667686
30.95,-83.6966873061554
30.975,-83.6966875477793
31,-83.6966877916453
31.025,-83.6966880377644
31.05,-83.696688286147
31.075,-83.6966885368017
31.1,-83.6966887897293
31.125,-83.6966890449391
31.15,-83.6966893024343
31.175,-83.6966895622255
31.2,-83.6966898243177
31.225,-83.6966900887227
31.25,-83.6966903554472
31.275,-83.6966906245036
31.3,-83.6966908958988
31.325,-83.6966911696457
31.35,-83.6966914457522
31.375,-83.6966917242311
31.4,-83.6966920050899
31.425,-83.6966922883422
31.45,-83.6966925739964
31.475,-83.6966928620663
31.5,-83.6966931525613
31.525,-83.696693445496
31.55,-83.6966937408807
31.575,-83.6966940387299
31.6,-83.6966943390552
31.625,-83.696694641871
31.65,-83.696694947189
31.675,-83.6966952550238
31.7,-83.6966955653861
31.725,-83.6966958782912
31.75,-83.6966961937512
31.775,-83.6966965117823
31.8,-83.6966968324002
31.825,-83.6966971556194
31.85,-83.6966974814498
31.875,-83.6966978099067
31.9,-83.6966981410024
31.925,-83.6966984747525
31.95,-83.6966988111697
31.975,-83.6966991502704
32,-83.6966994920704
32.025,-83.6966998365859
32.05,-83.6967001838298
32.075,-83.6967005338185
32.1,-83.696700886566
32.125,-83.6967012420895
32.15,-83.6967016004036
32.175,-83.6967019615263
32.2,-83.6967023254733
32.225,-83.6967026922634
32.25,-83.6967030619131
32.275,-83.6967034344412
32.3,-83.6967038098652
32.325,-83.6967041882037
32.35,-83.6967045694739
32.375,-83.6967049536946
32.4,-83.6967053408827
32.425,-83.6967057310573
32.45,-83.6967061242369
32.475,-83.6967065204415
32.5,-83.6967069196895
32.525,-83.6967073220014
32.55,-83.6967077273971
32.575,-83.6967081358972
32.6,-83.6967085475223
32.625,-83.6967089622929
32.65,-83.6967093802304
32.675,-83.6967098013553
32.7,-83.6967102256855
32.725,-83.6967106532416
32.75,-83.6967110840438
32.775,-83.6967115181138
32.8,-83.6967119554722
32.825,-83.6967123961414
32.85,-83.6967128401436
32.875,-83.6967132875015
32.9,-83.6967137382372
32.925,-83.6967141923737
32.95,-83.6967146499342
32.975,-83.6967151109416
33,-83.6967155754185
33.025,-83.6967160433877
33.05,-83.6967165148727
33.075,-83.6967169898966
33.1,-83.6967174684827
33.125,-83.6967179506553
33.15,-83.6967184364387
33.175,-83.6967189258574
33.2,-83.6967194189364
33.225,-83.6967199157004
33.25,-83.6967204161734
33.275,-83.6967209203789
33.3,-83.6967214283413
33.325,-83.6967219400844
33.35,-83.6967224556325
33.375,-83.6967229750093
33.4,-83.6967234982398
33.425,-83.6967240253481
33.45,-83.6967245563592
33.475,-83.6967250912978
33.5,-83.6967256301898
33.525,-83.69672617306
33.55,-83.6967267199355
33.575,-83.6967272708413
33.6,-83.6967278258038
33.625,-83.6967283848476
33.65,-83.6967289479984
33.675,-83.6967295152812
33.7,-83.6967300867233
33.725,-83.6967306623507
33.75,-83.6967312421904
33.775,-83.6967318262685
33.8,-83.6967324146144
33.825,-83.6967330072541
33.85,-83.6967336042146
33.875,-83.6967342055214
33.9,-83.6967348112017
33.925,-83.6967354212814
33.95,-83.6967360357879
33.975,-83.696736654747
34,-83.6967372781858
34.025,-83.6967379061308
34.05,-83.6967385386098
34.075,-83.696739175649
34.1,-83.6967398172764
34.125,-83.6967404635183
34.15,-83.6967411144027
34.175,-83.6967417699556
34.2,-83.6967424302049
34.225,-83.6967430951769
34.25,-83.6967437648996
34.275,-83.6967444393991
34.3,-83.6967451187031
34.325,-83.6967458028375
34.35,-83.6967464918298
34.375,-83.6967471857056
34.4,-83.6967478844921
34.425,-83.6967485882148
34.45,-83.6967492969007
34.475,-83.6967500105755
34.5,-83.6967507292655
34.525,-83.6967514529961
34.55,-83.6967521817934
34.575,-83.6967529156824
34.6,-83.6967536546909
34.625,-83.6967543988435
34.65,-83.6967551481653
34.675,-83.6967559026798
34.7,-83.6967566624107
34.725,-83.6967574273813
34.75,-83.6967581976142
34.775,-83.6967589731323
34.8,-83.6967597540651
34.825,-83.6967605405315
34.85,-83.696761332645
34.875,-83.696762130515
34.9,-83.6967629342478
34.925,-83.6967637439453
34.95,-83.6967645597061
34.975,-83.6967653816256
